4234B	45k	|	710B	1583	B	|	0.40	0.78	0.59	|	820M	61.6M	144M	62.0G|0.0	0	691|0	.27	3.67	|	16M	984M	|	
0	0	|	0	0		|	0.40	0.78	0.59	|	851M	61.6M	144M	62.0G|3.0	0	0|	0	0	|	16M	984M	|	
0	0	|	0	0		|	0.40	0.78	0.59	|	851M	61.6M	144M	62.0G|1.0	0	0|	0	0	|	16M	984M	|	
0	0	|	0	0		|	0.40	0.78	0.59	|	851M	61.6M	144M	62.0G|3.0	0	0|	0	0	|	16M	984M	|	
0	0	|	0	0		|	0.40	0.78	0.59	|	851M	61.6M	144M	62.0G|1.0	0	0|	0	0	|	16M	984M	|	
0	0	|	0	0		|	0.45	0.79	0.60	|	851M	61.6M	144M	62.0G|1.0	0	0|	0	0	|	16M	984M	|	
0	0	|	0	0		|	0.45	0.79	0.60	|	851M	61.6M	144M	62.0G|3.0	0	0|	0	0	|	16M	984M	|	
0	0	|	0	0		|	0.45	0.79	0.60	|	851M	61.6M	144M	62.0G|1.0	0	0|	0	0	|	16M	984M	|	
0	12k	|	0	0		|	0.45	0.79	0.60	|	850M	61.6M	144M	62.0G|1.0	0	0|	0	3.00	|	16M	984M	|	
0	0	|	0	0		|	0.45	0.79	0.60	|	850M	61.6M	144M	62.0G|1.0	0	0|	0	0	|	16M	984M	|	
0	0	|	0	0		|	0.49	0.79	0.60	|	850M	61.6M	144M	62.0G|1.0	0	0|	0	0	|	16M	984M	|	
0	0	|	0	0		|	0.49	0.79	0.60	|	850M	61.6M	144M	62.0G|2.0	0	0|	0	0	|	16M	984M	|	
0	0	|	0	0		|	0.49	0.79	0.60	|	850M	61.6M	144M	62.0G|1.0	0	0|	0	0	|	16M	984M	|	
0	0	|	0	0		|	0.49	0.79	0.60	|	850M	61.6M	144M	62.0G|1.0	0	0|	0	0	|	16M	984M	|	
0	0	|	0	0		|	0.49	0.79	0.60	|	850M	61.6M	144M	62.0G|1.0	0	0|	0	0	|	16M	984M	|	
0	0	|	0	0		|	0.53	0.79	0.60	|	850M	61.6M	144M	62.0G|1.0	0	0|	0	0	|	16M	984M	|	
0	24k	|	0	0		|	0.53	0.79	0.60	|	850M	61.6M	144M	62.0G|1.0	0	0|	0	6.00	|	16M	984M	|	
0	0	|	0	0		|	0.53	0.79	0.60	|	850M	61.6M	144M	62.0G|1.0	0	0|	0	0	|	16M	984M	|	
0	0	|	0	0		|	0.53	0.79	0.60	|	850M	61.6M	144M	62.0G|1.0	0	0|	0	0	|	16M	984M	|	
0	0	|	0	0		|	0.53	0.79	0.60	|	850M	61.6M	144M	62.0G|1.0	0	0|	0	0	|	16M	984M	|	
0	0	|	0	0		|	0.57	0.80	0.60	|	850M	61.6M	144M	62.0G|3.0	0	0|	0	0	|	16M	984M	|	
0	52k	|	0	0		|	0.57	0.80	0.60	|	850M	61.6M	144M	62.0G|1.0	0	0|	0	13.0	|	16M	984M	|	
0	24k	|	0	0		|	0.57	0.80	0.60	|	850M	61.6M	144M	62.0G|1.0	0	0|	0	6.00	|	16M	984M	|	
0	0	|	0	0		|	0.57	0.80	0.60	|	850M	61.6M	144M	62.0G|1.0	0	0|	0	0	|	16M	984M	|	
0	0	|	0	0		|	0.57	0.80	0.60	|	850M	61.6M	144M	62.0G|1.0	0	0|	0	0	|	16M	984M	|	
0	0	|	0	0		|	0.60	0.80	0.60	|	850M	61.6M	144M	62.0G|2.0	0	0|	0	0	|	16M	984M	|	
0	0	|	0	0		|	0.60	0.80	0.60	|	850M	61.6M	144M	62.0G|1.0	0	0|	0	0	|	16M	984M	|	
0	0	|	0	0		|	0.60	0.80	0.60	|	850M	61.6M	144M	62.0G|1.0	0	0|	0	0	|	16M	984M	|	
0	0	|	0	0		|	0.60	0.80	0.60	|	850M	61.6M	144M	62.0G|1.0	0	0|	0	0	|	16M	984M	|	
